Introduction to the New Testament	Introduction and Timeline
Introduction to the New Testament	The New Testament consists of 27 separate books, written mainly, though not exclusively, by Apostles of the Lord Jesus Christ. These books teach and testify of the ministry and Atonement of Jesus Christ and the rise of the early Christian Church. The Bible—the Old and New Testaments—has influenced more people than any other book ever written. Elder L. Tom Perry (1922–2015) of the Quorum of the Twelve Apostles stated that the New Testament “is the centerpiece of scriptural history, just as the Savior Himself should be the centerpiece of our lives. We must commit ourselves to study it and treasure it!” (“The Sabbath and the Sacrament,” Ensign or Liahona, May 2011, 6).
Introduction to the New Testament	This chapter contains a brief overview of the historical period between the Old and New Testaments, a short summary of the contents of the four Gospels with emphasis on the final week of the Savior’s mortal life, a brief history of how the New Testament came to be, information about the Joseph Smith Translation, and statements on the importance of the New Testament for The Church of Jesus Christ of Latter-day Saints and its members.
Introduction to the New Testament	Commentary
Introduction to the New Testament	The Intertestamental Period
Introduction to the New Testament	Knowing some of the main historical events between the end of the Old Testament era and the beginning of the New Testament era helps us better understand the people and circumstances we encounter as we begin to read the New Testament. The time period between the testaments can be divided into the Persian, Hellenistic, Hasmonean, and Roman periods.
Introduction to the New Testament	Persian period. Around 539 B.C., Cyrus of Persia conquered Babylon and permitted Jews who had been brought there as captives between 606 and 586 B.C. to return to Judea (see Ezra 1; Bible Dictionary, “Cyrus,” “Persia”). The Jews who chose to return brought the Aramaic language with them from Babylon, and by New Testament times it had replaced Hebrew as the spoken language of most Jews. With permission from Persian rulers, the Jews rebuilt the temple in Jerusalem (around 516 B.C.). Old Testament books written during the Persian period include Daniel, Esther, Ezra, Nehemiah, Haggai, Zechariah, and Malachi. The last Old Testament book, Malachi, was written by the prophet Malachi about 430 B.C. After Malachi, scribes, temple priests (led by the Aaronic high priest), and rabbis gradually replaced prophets as spiritual leaders of the Jewish people.
Introduction to the New Testament	Hellenistic period. Judea was one of the conquests of Alexander the Great (336–323 B.C.), bringing the influence of Hellenistic (Greek) culture to the land of the Jews (see Bible Dictionary, “Alexander”). Many Jews left Judea to live in other Greek cities, furthering the dispersion of the Jewish people. The presence of Jewish communities and synagogues throughout the Mediterranean world later facilitated the spread of Christianity in the first century A.D. (see Bible Dictionary, “Diaspora,” “Dispersion”). New occupations, such as tax collectors and hired day laborers, found their way into Jewish society during the Hellenistic period. The Jewish governing council, the Sanhedrin, was formed during this time. In the third century B.C., the Old Testament began to be translated into Greek, which had become the common language of the Mediterranean world. The finished translation, known as the Septuagint, was the scripture commonly used during New Testament times. Most of the quotations of the Old Testament found in the New Testament are taken from the Septuagint. This Greek translation of the Jewish scriptures later proved to be of special value in spreading the Christian faith to the Gentile world, for it made the religion of the Jews available to the civilized world (see Bible Dictionary, “Hellenists,” “Septuagint”).
Introduction to the New Testament	Following the death of Alexander (323 B.C.), his generals fought to gain control of his empire. Seleucus Nicator seized control of Syria, Asia Minor (or Turkey), and Greece, while Ptolemy took control of Egypt. Judea lay directly between the realms of the two rivals and changed hands several times during the ensuing years.
Introduction to the New Testament	Hasmonean period. The Seleucid ruler Antiochus IV Epiphanes (descendant of Seleucus Nicator) began his rule of the Judean area in 175 B.C. (see Bible Dictionary, “Antiochus Epiphanes”). Believing that a complete Hellenization of the region would bring stability to his kingdom, he banned Judaism completely, including Sabbath observance and circumcision. He made the possession or reading of the Torah (see Bible Dictionary, “Torah”) punishable by death. In Jerusalem, the temple altar was desecrated with the sacrificing of swine, and an altar to pagan gods was placed over the temple altar. Though calculated to embarrass Jews and discourage observance of Jewish law, these atrocities outraged the Jewish community. In response, a priest named Mattathias, of the family of Hasmon, and his five sons led a Jewish revolt in 167 B.C., called the Maccabean revolt (see Bible Dictionary, “Maccabees”). By 165 B.C., Maccabean forces had recaptured Jerusalem and rededicated the temple. The Feast of Dedication (Hanukkah) mentioned in the New Testament commemorated this momentous event (see Bible Dictionary, “Feasts”). Maccabean leaders succeeded in establishing an independent Jewish state for the first time in over 440 years. Simon Maccabeus, a son of Mattathias, became both high priest and governor of Judea, thus establishing the Hasmonean dynasty.
Introduction to the New Testament	Roman period. Over time, Hasmonean leadership degenerated into a corrupt political entity. In 63 B.C., at a time when two Hasmonean brothers were vying for power, the Roman general Pompey invaded Jerusalem, and the land of the Jews fell under the control of the Roman Empire (see Bible Dictionary, “Roman Empire”). At the time Jesus Christ was born, the Roman-appointed ruler of Judea was the Jewish king Herod the Great, who, threatened by reports of the birth of the Messiah, ordered the slaying of the children of Bethlehem age two and under (see Matthew 2:1–18). A powerful, ruthless leader who was unpopular with his people, Herod attempted to win their favor by undertaking massive building projects, especially the rebuilding of the Jerusalem temple, which continued long after Herod’s death and throughout the duration of Jesus Christ’s ministry (see Bible Dictionary, “Herod,” “Temple of Herod”). After Herod’s death in 4 B.C., his lands were divided between three of his sons. They ruled as tetrarchs (Greek meaning “rulers of a part or portion”) and not as full-fledged kings like their father. One of them, Herod Antipas, ruled Galilee and is the Herod mentioned most frequently during the time of Jesus Christ’s ministry.
Introduction to the New Testament	Beginning in A.D. 6, after one of Herod’s sons was deposed, leaders of the Roman Empire began to appoint governors over the province of Judea. They were first called praefectus and then procurators from the time of Emperor Claudius (A.D. 41–54) onward (see Acts 11:28). Pontius Pilate was appointed governor in A.D. 26 and ruled until A.D. 36.
Introduction to the New Testament	Throughout the New Testament period, the office of high priest—the official head of the Aaronic or Levitical Priesthood—was filled by corrupt men. During the Hasmonean era, the legitimacy of the office was increasingly challenged. Under the Seleucid ruler Antiochus IV, the office was sold to the highest bidders, and Herod the Great relegated the office to a marginal role. But with the coming of the Roman governors, the high priest was given greater power so that the office could become a pro-Roman aristocracy. The high priest during Jesus Christ’s adulthood was Caiaphas, who was a son-in-law of Annas (see John 18:24). Annas was high priest from A.D. 6 to 15, and Caiaphas ruled from A.D. 18 to 36. Annas was so powerful that several of his sons went on to become high priests.
Introduction to the New Testament	The Roman period is generally regarded as ending in A.D. 324.
Introduction to the New Testament	The events of the intertestamental period help us understand the great desire many Jews felt for the coming of the promised Messiah. After centuries of conquest and humiliation, many felt desperately that only the Messiah could rid them of foreign oppressors and reclaim their national dignity.
Introduction to the New Testament	The New Testament Setting
Introduction to the New Testament	A basic understanding of the following terms will be helpful as you study the New Testament:
Introduction to the New Testament	Messiah. An Aramaic and Hebrew word meaning “anointed one.” In ancient Israel, prophets, kings, and priests were anointed with oil, indicating they were chosen and set apart by God. The term Messiah came to indicate a specific king of Israel of the lineage of David who would one day come to save his people. The Greek equivalent of Messiah is Christos, from which comes the title Christ. At the time of the New Testament, the people were expecting the coming of the Messiah.
Introduction to the New Testament	Galilee. The area north of Jerusalem, bordering on the north and west of the Sea of Galilee. Jesus was raised in the small Galilean village of Nazareth and spent the majority of His mortal ministry teaching in Galilean towns and villages such as Capernaum, Cana, Bethsaida, Nain, and others.
Introduction to the New Testament	Judea. The area west of the Dead Sea and surrounding Jerusalem. The Savior was not as readily accepted here as in Galilee, particularly by the Jewish leaders, who were the chief priests, scribes, and elders.
Introduction to the New Testament	Samaria. The area west of the Jordan River and between Judea and Galilee. The Samaritans were descendants of Israelites and foreigners who intermarried and inhabited the land following the Assyrian conquest in the eighth century B.C. (see 2 Kings 17:24–41). The animosity between Samaritans and Jews dated back to at least the Persian period. Jews traveling between Judea and Galilee often traveled a longer route near the Jordan River in order to avoid passing through Samaria.
Introduction to the New Testament	Pharisees. A group of pious Jews whose name denotes separatists—in particular, they separated themselves from Gentile impurities. Pharisees sought strict observance of the law of Moses and Jewish rituals. They upheld the authority of oral tradition as being of equal value to written scripture. In general, the Pharisees were a major source of opposition to Jesus Christ.
Introduction to the New Testament	Sadducees. An elite group composed of aristocratic high priestly families who had gained prominence during the Hasmonean period. Though relatively few in number, they held considerable power, especially over the administration of the temple in Jerusalem. They opposed Jesus Christ for His cleansing of the temple, which they regarded as an affront to their authority. They rejected traditions and beliefs not found in the written law of Moses, putting them at odds with the Pharisees and many other Jews. In particular, they rejected belief in angels, immortality, judgment, and resurrection. These beliefs were the cause of much of the animosity they had toward the Savior.
Introduction to the New Testament	Sanhedrin. This Greek term means “council.” There were many Sanhedrins in different areas of Jewish life. When the term (or its English equivalent “council”) is used without qualification in the New Testament, however, it generally refers to the Great Sanhedrin that was headquartered in Jerusalem. This Jewish council regulated the internal affairs of the Jewish nation. It consisted of 70 members and a high priest who presided over the council. Its membership was drawn from the Jewish elite—chief priests, scribes, Pharisees, Sadducees, and elders. Though Rome retained political power, the Sanhedrin was allowed jurisdiction over the religious laws of Judea as long as it was able to keep the Jews under control.
Introduction to the New Testament	Scribes. Educated men who made their livelihood as record keepers and as copyists of the scriptures. They supplied scriptures to the growing number of synagogues and also became interpreters and teachers of the law of Moses.
Introduction to the New Testament	Synagogue. Synagogues were Jewish congregations, or the actual buildings where Jews assembled for prayer and worship on Sabbaths, festivals, and other holy days. The institution of the synagogue became pronounced during the Babylonian exile and the intertestamental period as Jews sought ways to worship the Lord while separated from His temple. Remains of several synagogues dating to New Testament times have been discovered. Jesus and His Apostles taught in such synagogues.
